dataset,model,n_features,n_samples,backend,library,computation_type,approximator,budget,n_eval,runtime_s,n_model_evals,mean_abs_diff,relative_mae,sign_agreement,mean_sample_rho,reference_backend
ames_housing,random_forest,4,1000,shap_approx,shap,approximation,kernel,64.0,50,0.1466,35100.0,0.0005507594136638,4.3379372914434675e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,shap_approx,shap,approximation,permutation,64.0,50,5.1247,131999.0,0.0005507594288717,4.3379374112251064e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,shapiq_approx,shapiq,approximation,kernel,64.0,50,1.9036,40051.0,0.0007036061813223,5.5418017681144214e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,shapiq_approx,shapiq,approximation,permutation,64.0,50,11.3078,155051.0,367.5880852778592,0.0289522797696603,0.9866666666666668,0.992,shap_true_value
ames_housing,random_forest,4,1000,lightshap_approx,lightshap,approximation,kernel,64.0,50,0.1188,30100.0,0.0005507594245702,4.3379373773450286e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,lightshap_approx,lightshap,approximation,permutation,64.0,50,0.1594,30100.0,0.0005507594240867,4.3379373735364674e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,dalex_approx,dalex,approximation,permutation,64.0,50,4.2187,202601.0,387.7843825763783,0.0305429974047435,0.9933333333333332,0.988,shap_true_value
ames_housing,random_forest,4,1000,shap_approx,shap,approximation,kernel,256.0,50,0.1335,70150.0,0.0006698952580902,4.7177442649848225e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,shap_approx,shap,approximation,permutation,256.0,50,5.1313,987055.0,0.0006698952487417,4.717744199148135e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,shapiq_approx,shapiq,approximation,kernel,256.0,50,3.7364,80101.0,0.0008211142430753,5.7827055265476385e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,shapiq_approx,shapiq,approximation,permutation,256.0,50,70.9032,1270101.0,158.3277701504678,0.0111502495441551,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,lightshap_approx,lightshap,approximation,kernel,256.0,50,0.1214,60150.0,0.0006698952612476,4.71774428722095e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,lightshap_approx,lightshap,approximation,permutation,256.0,50,0.1621,60150.0,0.0006698952602053,4.7177442798807426e-08,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,dalex_approx,dalex,approximation,permutation,256.0,50,15.9639,1605151.0,185.11291430653355,0.0130365960841997,1.0,1.0,shap_true_value
ames_housing,random_forest,4,1000,shap_true_value,shap,true_value,,,50,0.0019,,,,,,
