dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,relative_mae,mean_abs_diff,sign_agreement,mean_sample_rho,relative_additivity_gap
gisette,random_forest,12,0,shap,kernel,128.0,shap / kernel,0.422,128110.0,0.2884753665065782,0.006940396148479185,0.93,0.8973744059414216,9.303665093473024e-17
gisette,random_forest,12,0,shap,kernel,512.0,shap / kernel,1.152,512110.0,0.10927077851382211,0.0026008952949785687,0.98,0.9768841600978238,1.9641070752887486e-16
gisette,random_forest,12,0,shap,kernel,2048.0,shap / kernel,4.0782,2048110.0,0.044886512959987926,0.0010678784011970263,1.0,0.9940470585721133,1.5506108489121704e-16
gisette,random_forest,12,0,shap,permutation,128.0,shap / permutation,0.6369,96232.0,0.14189794295340172,0.0033723199725215823,0.9083333333333333,0.9713286713286715,1.8503956130351903e-15
gisette,random_forest,12,0,shap,permutation,512.0,shap / permutation,2.2706,354846.0,0.07093060300291174,0.0017139084582018281,0.975,0.9916083916083916,1.7539131602139881e-15
gisette,random_forest,12,0,shap,permutation,2048.0,shap / permutation,8.817,1405715.0,0.03850661048520932,0.0009211363330989829,0.9916666666666667,0.9972027972027974,2.208759009228225e-15
gisette,random_forest,12,0,shapiq,kernel,128.0,shapiq / kernel,6.5035,128101.0,0.5820105610296084,0.015580898410445453,0.7083333333333334,0.7055944055944057,2.2518826888393452e-08
gisette,random_forest,12,0,shapiq,kernel,512.0,shapiq / kernel,7.5551,512101.0,0.2475800738427375,0.0061893711140468015,0.85,0.9076923076923078,2.4439219163304483e-08
gisette,random_forest,12,0,shapiq,kernel,2048.0,shapiq / kernel,11.5227,2048101.0,0.08552673636641459,0.0020656917216783166,0.9583333333333334,0.9860139860139862,2.465976769926488e-08
gisette,random_forest,12,0,shapiq,permutation,128.0,shapiq / permutation,30.5088,123101.0,0.32541476956723137,0.008003674274533863,0.8916666666666667,0.8783216783216783,3.514717924200919e-16
gisette,random_forest,12,0,shapiq,permutation,512.0,shapiq / permutation,75.0793,508101.0,0.16024614263371895,0.003892869634639378,0.9083333333333333,0.972727272727273,2.687725471447762e-16
gisette,random_forest,12,0,shapiq,permutation,2048.0,shapiq / permutation,251.597,2048101.0,0.08493090249939846,0.0020295430221638814,0.9416666666666667,0.9804195804195807,6.5814816031605455e-16
gisette,random_forest,12,0,lightshap,kernel,128.0,lightshap / kernel,13.1594,2479510.0,0.0467240849140572,0.0011243116147727366,0.9583333333333334,0.990909090909091,3.4802599053362046e-16
gisette,random_forest,12,0,lightshap,kernel,512.0,lightshap / kernel,25.5242,4774110.0,0.03988527721015275,0.0009582610527889817,0.9583333333333334,0.9944055944055945,2.274229245071183e-16
gisette,random_forest,12,0,lightshap,kernel,2048.0,lightshap / kernel,25.4093,4774110.0,0.03988527721015275,0.0009582610527889817,0.9583333333333334,0.9944055944055945,2.274229245071183e-16
gisette,random_forest,12,0,lightshap,permutation,128.0,lightshap / permutation,12.6702,2076110.0,0.02657277571967884,0.0006381326593305189,0.9916666666666667,0.9972027972027974,3.101221697824341e-16
gisette,random_forest,12,0,lightshap,permutation,512.0,lightshap / permutation,24.2919,3967910.0,0.025741023582109862,0.0006183092440731769,0.9916666666666667,0.9986013986013986,3.0667636789596257e-16
gisette,random_forest,12,0,lightshap,permutation,2048.0,lightshap / permutation,24.3414,3967910.0,0.025741023582109862,0.0006183092440731769,0.9916666666666667,0.9986013986013986,3.0667636789596257e-16
gisette,random_forest,12,0,dalex,permutation,128.0,dalex / permutation,10.1894,144111.0,0.37715638389362194,0.009509959522856043,0.8666666666666667,0.8895104895104895,1.9985650941534638e-16
