dataset,model,library,approximator,budget,method,seed_count,runtime_median,runtime_q25,runtime_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,rho_median,rho_q25,rho_q75,sign_agreement_median,sign_agreement_q25,sign_agreement_q75,rel_additivity_gap_median,rel_additivity_gap_q25,rel_additivity_gap_q75
ames_housing,decision_tree,dalex,permutation,128.0,dalex / permutation,10,0.91725,0.89815,0.923475,0.2301136633228602,0.19937919861363454,0.27359752679550164,0.9349650349650351,0.9274475524475525,0.9417298490982702,0.9312684365781712,0.9142857142857143,0.9392342342342341,0.0,0.0,2.305028460266448e-17
ames_housing,decision_tree,dalex,permutation,512.0,dalex / permutation,10,3.4804,3.391025,3.51345,0.1125898902352899,0.09661518521201284,0.13300068720419506,0.9772727272727275,0.9742786161207215,0.983041958041958,0.9733285917496444,0.960990990990991,0.9804756637168142,1.1559687743916512e-17,0.0,5.347457954595107e-17
ames_housing,decision_tree,dalex,permutation,2048.0,dalex / permutation,10,13.6329,13.47235,13.80255,0.05824908648195212,0.055858613591234806,0.0672084985643617,0.9916083916083916,0.9874125874125875,0.9921328671328672,0.9914085545722714,0.9824404761904761,0.9916666666666667,0.0,0.0,1.5178830897319104e-17
ames_housing,decision_tree,lightshap,kernel,128.0,lightshap / kernel,10,3.048,3.003775,3.0671,0.04200587656419308,0.041077395218568714,0.048407905155751066,0.9877622377622379,0.9840909090909091,0.990909090909091,0.9333517699115044,0.91875,0.95,0.0,0.0,7.918859037218883e-17
ames_housing,decision_tree,lightshap,kernel,512.0,lightshap / kernel,10,8.60565,8.26785,10.0944,0.02406824266508167,0.02280279758285829,0.026230467278595817,0.9905594405594407,0.9902097902097904,0.9940559440559442,0.9616228070175439,0.9380530973451328,0.9717551622418878,3.7380218206398675e-17,2.6066995331622743e-17,5.59181744516404e-17
ames_housing,decision_tree,lightshap,kernel,2048.0,lightshap / kernel,10,14.9125,11.09205,16.005074999999998,0.023058894070225704,0.020767829241696522,0.02373452747789264,0.9923076923076923,0.990909090909091,0.9945804195804197,0.9666666666666667,0.9451880530973451,0.973625989753144,3.370062728241331e-17,5.9968914345193706e-18,7.327813909317847e-17
ames_housing,decision_tree,lightshap,permutation,128.0,lightshap / permutation,10,2.9539,2.869275,3.076325,0.03709497698640976,0.034102208984755335,0.04059302546265883,0.9944055944055945,0.9924825174825177,0.9956293706293707,0.990575221238938,0.9826754385964912,0.9979166666666667,1.2742464574402739e-16,7.18508278277389e-17,1.565266176311209e-16
ames_housing,decision_tree,lightshap,permutation,512.0,lightshap / permutation,10,8.20385,7.8377,9.636175,0.022933036842231358,0.02126990324881952,0.02482043469063014,0.9957980615875353,0.9944055944055943,0.9977272727272729,0.9916666666666667,0.9843421052631578,1.0,2.4297137639712525e-16,2.1573030575613893e-16,2.996536998346382e-16
ames_housing,decision_tree,lightshap,permutation,2048.0,lightshap / permutation,10,14.01655,10.668375,15.225275,0.020470890779656296,0.01911373682668452,0.02233437848455247,0.9971978898294689,0.9945804195804197,0.997902097902098,0.9958333333333333,0.9904166666666667,1.0,2.643444079660188e-16,2.2895612912872885e-16,3.1067368501395717e-16
ames_housing,decision_tree,shap,kernel,128.0,shap / kernel,10,0.0513,0.051025,0.052475,0.15244282710862167,0.13856882775489227,0.17450698954551466,0.9281975705483088,0.920457014314796,0.9434340212346679,0.9292857142857143,0.9067708333333333,0.9395360824742267,3.5984875036243886e-17,6.281407751951035e-18,6.647038116353705e-17
