dataset,model,n_features,seed,library,backend,approximator,budget,method,device,imputer,n_background,n_eval,runtime_s,n_model_evals,relative_additivity_gap,relative_mae,mean_abs_diff,sign_agreement,mean_sample_rho
gisette,mlp,100,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.0615,0,0.043163542946668,0.9650843279580975,0.007951268987407327,0.929,0.9809576957695768
gisette,mlp,100,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.0181,0,0.8420757758155579,0.9650843279580975,0.007951268987407327,0.929,0.9809576957695768
gisette,mlp,100,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.3648,0,0.071408907201446,0.11497380660199082,0.0013203479376330195,0.97,0.9950267026702668
gisette,mlp,100,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.0234,0,0.5165482256297945,0.5177338611464853,0.0048962437358718485,0.925,0.9709486948694869
gisette,mlp,100,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,366.5503,101376110,5.817082038500422e-08,0.1585484128834961,0.0018515547128563417,0.937,0.97813501350135
gisette,mlp,100,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,134.47,99528110,5.0262118488059625e-08,0.10255819688738049,0.0011948331700986615,0.979,0.9951971197119711
gisette,mlp,100,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,2.0932,506111,1.731678241113104e-07,0.2613866627576532,0.003012068754014762,0.945,0.9746642664266425
gisette,mlp,100,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,1.2897,512101,1.0897277550824845e-07,0.9064559702019318,0.007875533904026654,0.789,0.7787098709870987
gisette,mlp,100,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,1.2646,512101,5.0712593658031863e-08,0.7038409968621194,0.00954321997349289,0.749,0.7134797479747974
gisette,mlp,100,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,0.9684,497101,8.25023770248084e-08,0.26126391347311767,0.0031355619438259296,0.944,0.9808652865286527
gisette,transformer,100,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,13.7833,0,0.1593190819846296,1.8971145167278083,0.01653073674784797,0.538,0.10006000600060005
gisette,transformer,100,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,5.3672,0,1.162333587319801,1.8971145167278083,0.01653073674784797,0.538,0.10006000600060005
gisette,transformer,100,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,10.4121,0,0.1753000463038247,0.27398965722777213,0.0042429195578953605,0.968,0.9788046804680468
gisette,transformer,100,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,4.893,0,0.85648488561054,1.4109159867062475,0.013141354582419808,0.838,0.7500378037803779
gisette,transformer,100,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,3600.5096,3524510,,,,,
gisette,transformer,100,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,3601.1554,3512110,,,,,
gisette,transformer,100,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,504.2391,506111,2.3059777664571425e-07,0.5337647517954139,0.008040644406020692,0.919,0.9221794179417941
gisette,transformer,100,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,492.3822,512101,1.30776465919601e-07,1.0037361101540299,0.011275626824327761,0.787,0.7711611161116111
gisette,transformer,100,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,491.2209,512101,4.492281239676278e-08,0.7411632888358749,0.012449985403046624,0.774,0.7478103810381037
gisette,transformer,100,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,477.1024,497101,4.224877652030621e-08,0.5327352541609514,0.008202516018850138,0.919,0.9273579357935791
gisette,cnn_1d,100,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.2186,0,0.032433790396709,0.04023975981476358,4.23841893853023e-05,0.989,0.9923096309630962
gisette,cnn_1d,100,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.1857,0,0.0088087454910091,0.04023975981476358,4.23841893853023e-05,0.989,0.9923096309630962
gisette,cnn_1d,100,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.3899,0,0.0376810293264171,0.05350639531950977,5.6529057199056486e-05,0.991,0.9869294929492949
gisette,cnn_1d,100,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.1202,0,0.0039517182355353,0.0396474575168971,4.184465852267748e-05,0.989,0.9923168316831681
gisette,cnn_1d,100,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,1828.6308,101376110,9.139921807047687e-07,0.09877641710171192,0.00010332433392777191,0.98,0.9614053405340532
gisette,cnn_1d,100,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,1551.727,99528110,9.13992180161436e-07,0.098787312043498,0.00010334700765270095,0.98,0.9615577557755774
gisette,cnn_1d,100,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,3.1042,506111,1.5440633859641651e-06,0.10216122550324547,0.00010686265567965167,0.981,0.958121812181218
gisette,cnn_1d,100,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,4.1172,512101,8.595710533957618e-07,0.9797898672219382,0.0007462617001198806,0.905,0.7490573057305729
gisette,cnn_1d,100,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,3.9029,512101,9.141182250642488e-07,0.10893790674737434,0.00011396275135290493,0.982,0.9518211821182117
gisette,cnn_1d,100,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,3.3809,497101,9.256601651857666e-07,0.0998166911610644,0.00010446868225054607,0.98,0.9606684668466846
ames_housing,mlp,79,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.0628,0,0.072754577687582,0.08441131242756611,130.77987591043302,0.9714285714285714,0.9922175294246524
ames_housing,mlp,79,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.0173,0,8.32678040972988e-08,0.08441131242756611,130.77987591043302,0.9714285714285714,0.9922175294246524
ames_housing,mlp,79,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.3716,0,0.0677247273256243,0.10096988470460262,155.14535683897745,0.9636363636363636,0.9887121313550556
ames_housing,mlp,79,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.0284,0,1.0437812362906639e-07,0.08441131039070193,130.7798733895338,0.9714285714285714,0.9922175294246524
ames_housing,mlp,79,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,146.6077,79872110,1.4988204836776742e-08,0.10476174500000549,160.45191535648038,0.9545454545454546,0.987166426298869
ames_housing,mlp,79,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,145.1716,77982110,1.4988204774737395e-08,0.10310896341784137,157.93173171779782,0.9545454545454546,0.9873788011254003
ames_housing,mlp,79,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,1.676,481111,3.3606885733173484e-07,0.13374090391667814,204.71134196937336,0.9532467532467532,0.9815138937913075
ames_housing,mlp,79,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,1.2899,512101,2.6811335801812e-07,0.6447208080894675,801.45109596644,0.8272727272727273,0.8647460123456892
ames_housing,mlp,79,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,1.2171,512101,2.7718514911206233e-08,0.26356874741738856,415.0972287956444,0.8376623376623377,0.9060680749198635
ames_housing,mlp,79,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,1.03,470101,6.494888717107733e-08,0.14152989793462134,217.0838122904814,0.948051948051948,0.9814080265462406
ames_housing,transformer,79,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,10.5704,0,0.0745522576626413,0.6009982791951738,927.4450133938428,0.7981770833333334,0.8287327337168156
ames_housing,transformer,79,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,4.1498,0,0.5664162470727304,0.6009982791951738,927.4450133938428,0.7981770833333334,0.8287327337168156
ames_housing,transformer,79,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,10.17,0,0.0721003688243069,0.09521757644439977,149.40026164576986,0.9348958333333334,0.9849401235621444
ames_housing,transformer,79,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,3.9911,0,0.5596382287957458,0.47269290166735733,752.7304197066948,0.8229166666666666,0.8524111889936062
ames_housing,transformer,79,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,3601.0988,4258910,,,,,
ames_housing,transformer,79,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,3601.0644,4256710,,,,,
ames_housing,transformer,79,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,350.3811,481111,6.30524158272156e-07,0.09481981019889667,151.3637410565268,0.9401041666666666,0.9865662512223616
ames_housing,transformer,79,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,387.4191,512101,8.686813058511855e-07,0.6467443367948458,815.3312869631906,0.7864583333333334,0.8627190029168214
ames_housing,transformer,79,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,388.9196,512101,8.006638057885581e-07,0.11625201135046508,186.19027060458922,0.9049479166666666,0.968989415310617
ames_housing,transformer,79,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,349.8095,470101,1.032008918011387e-06,0.09713332060826456,155.16125987692325,0.9348958333333334,0.9859090309833899
ames_housing,cnn_1d,79,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.1949,0,0.045030969793109,0.05547205993708123,50.85065423038941,0.9935064935064936,0.9961367592107987
ames_housing,cnn_1d,79,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.1415,0,4.201002863403552e-07,0.05547205993708123,50.85065423038941,0.9935064935064936,0.9961367592107987
ames_housing,cnn_1d,79,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.403,0,0.0386687369326574,0.07615153182792225,69.91499372941199,0.9883116883116884,0.9937949585559711
ames_housing,cnn_1d,79,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.0958,0,3.500324931048137e-07,0.05547205407774995,50.85064867825448,0.9935064935064936,0.9961367592107987
ames_housing,cnn_1d,79,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,1039.44,79872110,1.6488936243945176e-06,0.0608033744355915,55.71645045416194,0.990909090909091,0.995972468205324
ames_housing,cnn_1d,79,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,1047.451,77982110,1.6488936241988932e-06,0.060785233018444323,55.6994326627707,0.990909090909091,0.9959821950890999
ames_housing,cnn_1d,79,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,2.4372,481111,1.695104655445933e-06,0.07084030498361377,64.91532115453407,0.990909090909091,0.9957131902773894
ames_housing,cnn_1d,79,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,4.0283,512101,1.6520696828404703e-06,0.7031093142769242,488.61406121252026,0.8818181818181818,0.9261071452651126
ames_housing,cnn_1d,79,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,3.9402,512101,1.649034572194884e-06,0.0773221974059013,70.94993755882207,0.987012987012987,0.9938741107420581
ames_housing,cnn_1d,79,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,2.1691,470101,1.6488936241988932e-06,0.06826635815186483,62.63375780046035,0.990909090909091,0.9955513160209977
bike,mlp,12,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.097,0,0.0279514802501275,0.06033553430978755,1.303013432957232,0.975,0.9895104895104897
bike,mlp,12,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.0185,0,1.3483439905524946e-07,0.06033553430978755,1.303013432957232,0.975,0.9895104895104897
bike,mlp,12,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.36,0,0.0441548900943332,0.07055358551550582,1.5079166719845436,0.9833333333333333,0.9937062937062938
bike,mlp,12,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.0222,0,1.8064711257458874e-07,0.060335519749228135,1.303013126179576,0.975,0.9895104895104897
