dataset,model,n_background,n_features,n_samples,max_depth,n_estimators,max_depth_config,order,backend,library,mode,seed,imputer,n_eval,runtime_s,additivity_gap,relative_additivity_gap,mean_abs_diff,relative_mae,sign_agreement,mean_sample_rho,is_failure
gisette,xgboost,100,1000,10000,4,100,4,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0367,1.71661376953125e-06,3.456127052155419e-07,5.8433137138288966e-05,0.005796515256905093,0.9996173469387755,0.9992766439014955,False
gisette,xgboost,100,1000,10000,4,100,4,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5453,0.0306272832002531,0.006166313233678,0.00011686514420490953,0.011592918312197675,0.999234693877551,0.9985532878029909,False
gisette,xgboost,100,1000,10000,4,100,4,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,3.6588,6.487474564664808e-07,1.274935303152909e-07,3.0754447159995297e-10,2.9793932147780872e-08,1.0,1.0,False
gisette,xgboost,100,1000,10000,4,100,4,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.3196,0.0062938690185546,0.0012665278650307,5.843331847549095e-05,0.005796533110109045,0.9996173469387755,0.9992766439014955,False
gisette,xgboost,100,1000,10000,4,100,4,1,woodelf_interventional,woodelf,interventional,0,marginal,10,0.3959,6.663152221086932e-07,1.3094599496123556e-07,3.0754447159995297e-10,2.9793932147780872e-08,1.0,1.0,False
gisette,xgboost,100,1000,10000,4,100,4,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,0.0001,,,,,,,True
gisette,xgboost,100,1000,10000,8,100,8,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0468,2.5272369384765624e-06,3.930762123636465e-07,6.680351611662665e-05,0.00557863329666321,0.9990291262135922,0.9987662434188658,False
gisette,xgboost,100,1000,10000,8,100,8,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.6136,0.0028043388974183,0.0004361755314415,0.00013360436719747962,0.01115704389073126,0.9980582524271845,0.9975324868377315,False
gisette,xgboost,100,1000,10000,8,100,8,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,9.0579,1.1255736520610071e-06,1.696996445038019e-07,4.2509731758549496e-10,3.573611583960548e-08,1.0,1.0,False
gisette,xgboost,100,1000,10000,8,100,8,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,1.3586,0.0337013721466064,0.0052308067413816,6.680401312792161e-05,0.00557867496503302,0.9990291262135922,0.9987662434188658,False
gisette,xgboost,100,1000,10000,8,100,8,1,woodelf_interventional,woodelf,interventional,0,marginal,10,1.5108,9.34994918377896e-07,1.409666101456307e-07,4.2509731758549496e-10,3.573611583960548e-08,1.0,1.0,False
