dataset,model,seed,max_depth,mode,backend_a,backend_b,library_a,library_b,sign_agreement,mean_sample_rho
gisette,xgboost,0,4,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,0.999234693877551,0.9985532878029909
gisette,xgboost,0,4,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,1.0
gisette,xgboost,0,4,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,0.999234693877551,0.9985532878029909
gisette,xgboost,0,4,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,0.999234693877551,0.9985532878029909
gisette,xgboost,0,4,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,1.0
gisette,xgboost,0,4,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,1.0
gisette,xgboost,0,4,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,0.999234693877551,0.9985532878029909
gisette,xgboost,0,4,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,1.0
gisette,xgboost,0,8,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,0.9980582524271845,0.9975324868377315
gisette,xgboost,0,8,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,1.0
gisette,xgboost,0,8,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,0.9980582524271845,0.9975324868377315
gisette,xgboost,0,8,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,0.9980582524271845,0.9975324868377315
gisette,xgboost,0,8,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,1.0
gisette,xgboost,0,8,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,1.0
gisette,xgboost,0,8,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,0.9980582524271845,0.9975324868377315
gisette,xgboost,0,8,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,1.0
gisette,xgboost,0,12,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,0.997709049255441,0.9972860588397936
gisette,xgboost,0,12,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,0.9999999999999998
gisette,xgboost,0,12,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,0.997709049255441,0.9972860588397936
gisette,xgboost,0,12,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,0.997709049255441,0.9972860588397936
gisette,xgboost,0,12,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,1.0
gisette,xgboost,0,12,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,0.9999999999999998
gisette,xgboost,0,12,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,0.997709049255441,0.9972860588397936
gisette,xgboost,0,12,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,1.0
gisette,xgboost,0,15,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,0.9973981900452489,0.997191246945655
gisette,xgboost,0,15,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,1.0
gisette,xgboost,0,15,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,0.9973981900452489,0.997191246945655
gisette,xgboost,0,15,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,0.9973981900452489,0.997191246945655
gisette,xgboost,0,15,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,0.9998330150387948
gisette,xgboost,0,15,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,1.0
gisette,xgboost,0,15,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,0.9973981900452489,0.997191246945655
gisette,xgboost,0,15,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,0.9998330150387951
gisette,xgboost,0,20,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,1.0
gisette,xgboost,0,20,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,0.9997827766082228
gisette,xgboost,0,20,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,1.0
gisette,xgboost,0,20,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,0.9997827766082228
gisette,xgboost,0,20,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,1.0
gisette,xgboost,0,20,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,0.9997827766082228
gisette,xgboost,0,20,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,1.0
gisette,xgboost,0,20,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,0.9997827766082228
gisette,xgboost,0,20,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,1.0
gisette,xgboost,0,20,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,0.9997827766082228
gisette,xgboost,0,20,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,1.0
gisette,xgboost,0,20,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,0.9997827766082228
gisette,xgboost,0,20,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,1.0
gisette,xgboost,0,20,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,0.9997827766082228
gisette,xgboost,0,20,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,1.0
gisette,xgboost,0,20,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,0.9975308641975309,0.9967207535589523
gisette,xgboost,0,20,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,0.9997827766082228
gisette,lightgbm,0,4,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,1.0,1.0
gisette,lightgbm,0,4,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,1.0
gisette,lightgbm,0,4,path_dependent,shap_tree_path_dependent,fasttreeshap_path_dependent,shap,fasttreeshap,1.0,1.0
gisette,lightgbm,0,4,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,1.0,1.0
gisette,lightgbm,0,4,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,1.0,1.0
gisette,lightgbm,0,4,path_dependent,shapiq_tree_path_dependent,fasttreeshap_path_dependent,shapiq,fasttreeshap,1.0,1.0
gisette,lightgbm,0,4,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,1.0
gisette,lightgbm,0,4,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,1.0
gisette,lightgbm,0,4,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,1.0,1.0
gisette,lightgbm,0,4,path_dependent,woodelf_path_dependent,fasttreeshap_path_dependent,woodelf,fasttreeshap,1.0,1.0
gisette,lightgbm,0,4,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,1.0
gisette,lightgbm,0,4,path_dependent,fasttreeshap_path_dependent,shap_tree_path_dependent,fasttreeshap,shap,1.0,1.0
gisette,lightgbm,0,4,path_dependent,fasttreeshap_path_dependent,shapiq_tree_path_dependent,fasttreeshap,shapiq,1.0,1.0
gisette,lightgbm,0,4,path_dependent,fasttreeshap_path_dependent,woodelf_path_dependent,fasttreeshap,woodelf,1.0,1.0
gisette,lightgbm,0,8,path_dependent,shap_tree_path_dependent,shapiq_tree_path_dependent,shap,shapiq,1.0,1.0
gisette,lightgbm,0,8,path_dependent,shap_tree_path_dependent,woodelf_path_dependent,shap,woodelf,1.0,1.0
gisette,lightgbm,0,8,path_dependent,shap_tree_path_dependent,fasttreeshap_path_dependent,shap,fasttreeshap,1.0,1.0
gisette,lightgbm,0,8,path_dependent,shapiq_tree_path_dependent,shap_tree_path_dependent,shapiq,shap,1.0,1.0
gisette,lightgbm,0,8,path_dependent,shapiq_tree_path_dependent,woodelf_path_dependent,shapiq,woodelf,1.0,1.0
gisette,lightgbm,0,8,path_dependent,shapiq_tree_path_dependent,fasttreeshap_path_dependent,shapiq,fasttreeshap,1.0,1.0
gisette,lightgbm,0,8,interventional,shapiq_tree_interventional,woodelf_interventional,shapiq,woodelf,1.0,0.9999999999999998
gisette,lightgbm,0,8,path_dependent,woodelf_path_dependent,shap_tree_path_dependent,woodelf,shap,1.0,1.0
gisette,lightgbm,0,8,path_dependent,woodelf_path_dependent,shapiq_tree_path_dependent,woodelf,shapiq,1.0,1.0
gisette,lightgbm,0,8,path_dependent,woodelf_path_dependent,fasttreeshap_path_dependent,woodelf,fasttreeshap,1.0,1.0
gisette,lightgbm,0,8,interventional,woodelf_interventional,shapiq_tree_interventional,woodelf,shapiq,1.0,0.9999999999999998
gisette,lightgbm,0,8,path_dependent,fasttreeshap_path_dependent,shap_tree_path_dependent,fasttreeshap,shap,1.0,1.0
gisette,lightgbm,0,8,path_dependent,fasttreeshap_path_dependent,shapiq_tree_path_dependent,fasttreeshap,shapiq,1.0,1.0
