dataset,model,library,approximator,method,device,n_features,runtime_median,runtime_q25,runtime_q75,gap_mean,gap_q25,gap_q75,rho_median,rho_q25,rho_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,sign_agreement_median,seed_count
ames_housing,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,cpu,79,0.15115,0.146825,0.152925,4.3255388780660577e-07,3.318212231737917e-07,4.897291856399051e-07,0.9965576958758784,0.9962432600315559,0.9968751769221131,0.05421345743531805,0.0509155814270005,0.05541021073532969,0.9910958904109589,10
ames_housing,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,gpu,79,0.034,0.030625,0.038525000000000004,4.265541488621776e-07,2.5053999922558294e-07,5.976899763804059e-07,0.9965576958758784,0.9962432600315559,0.9968751769221131,0.054213447524429,0.05091558221286126,0.05541019749887389,0.9910958904109589,10
ames_housing,cnn_1d,captum,gradient_shap,captum / gradient_shap,cpu,79,0.18814999999999998,0.1834,0.1936,0.05090090908711762,0.03562977805196148,0.068390386763436,0.9946023407037143,0.9939313276627855,0.9948349487975219,0.07416393918260689,0.07217429658255588,0.07724246622471162,0.9891151425398002,10
ames_housing,cnn_1d,captum,gradient_shap,captum / gradient_shap,gpu,79,0.11255,0.1085,0.114075,0.04446242367997818,0.03105394470945355,0.05424107126664837,0.9965576958758784,0.9962432600315559,0.9968751769221131,0.054213447524429,0.05091558221286126,0.05541019749887389,0.9910958904109589,10
ames_housing,cnn_1d,shapiq,kernel,shapiq / kernel,cpu,79,3.9330999999999996,3.9217999999999997,3.944325,1.2673948612777474e-06,7.154978102497253e-07,1.8551682591745995e-06,0.9953087847995068,0.9940866190904646,0.9960120083794574,0.06738189611392553,0.06185350740711387,0.07830331660556131,0.9884394668641244,10
ames_housing,cnn_1d,shapiq,permutation,shapiq / permutation,cpu,79,2.23845,2.161075,2.85725,1.3021837325179897e-06,7.159848902160292e-07,1.8550526991295036e-06,0.9961183431837906,0.995824835244051,0.9966588004931358,0.06250687233188369,0.05871058030065206,0.06862294299117888,0.9919459459459459,10
ames_housing,cnn_1d,shapiq_proxy,proxy,shapiq / proxyShap,cpu,79,4.0523,4.030825,4.0595,1.259987361356764e-06,6.790833026183882e-07,1.85585819696004e-06,0.9259559592708742,0.9244241503006905,0.9272387737865949,0.7105381572359313,0.6971199871419247,0.7388814442662779,0.9019365784106701,10
ames_housing,mlp,captum,deep_lift_shap,captum / deep_lift_shap,cpu,79,0.0174,0.016149999999999998,0.017825,1.357159633570973e-07,8.55821198084803e-08,1.871717192129366e-07,0.991071528573952,0.9889714668907619,0.9920180279479908,0.08344069001767754,0.07920737849430622,0.087092253618794,0.9666835357624831,10
ames_housing,mlp,captum,deep_lift_shap,captum / deep_lift_shap,gpu,79,0.03665,0.035225,0.037325000000000004,1.0652776747542595e-07,6.817780816297127e-08,1.4374512736865516e-07,0.991071528573952,0.9889714668907619,0.9920180279479908,0.0834407035081576,0.07920737238288056,0.08709224521605771,0.9666835357624831,10
ames_housing,mlp,captum,gradient_shap,captum / gradient_shap,cpu,79,0.06125,0.059725,0.0632,0.05422271109455706,0.04176949467316838,0.0605599595682624,0.9869873450636083,0.9856636942548592,0.9892125755234638,0.09310926741396224,0.08628770072754773,0.09965110549524543,0.9606979405034325,10
