dataset,model,library,approximator,device,seed,n_features,runtime_s,relative_additivity_gap,mean_sample_rho,relative_mae,sign_agreement,method
gisette,mlp,captum,gradient_shap,gpu,0,100,0.3453,0.0612785883518513,0.9818481848184817,0.9520726458147857,0.94,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,0,100,0.0478,0.8420757923335243,0.9818481848184817,0.9520726458147857,0.94,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,0,100,0.2608,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,0,100,0.18,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,0,100,0.3051,0.0338741188582098,0.9929672967296728,0.03894234954773248,0.996,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,gpu,0,100,0.0687,0.0088092350147395,0.9929672967296728,0.03894234954773248,0.996,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,gpu,0,79,0.1083,0.0585869624572494,0.9921371973855575,0.08128305784939552,0.9753246753246754,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,gpu,0,79,0.0352,4.9960684122425866e-08,0.9921371973855575,0.08128305784939552,0.9753246753246754,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,0,79,0.3288,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,0,79,0.1858,0.4636937081460724,0.824732818135342,0.5968080012615712,0.7958387516254877,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,0,79,0.1207,0.0295954350222485,0.996057026397642,0.05545121344415154,0.9843953185955787,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,0,79,0.0388,4.201002863403552e-07,0.996057026397642,0.05545121344415154,0.9843953185955787,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,gpu,0,12,0.1136,0.0497707356675124,0.9944055944055945,0.05335275533016289,0.9666666666666667,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,0,12,0.036,5.552005110857377e-08,0.9944055944055945,0.05335275533016289,0.9666666666666667,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,0,12,0.169,0.0747413313534954,0.5944055944055945,1.005013890613403,0.725,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,0,12,0.0476,1.3199178589080138,0.5944055944055945,1.005013890613403,0.725,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,0,12,0.1387,0.0546211148441262,0.9951048951048952,0.039699923444366944,1.0,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,0,12,0.0556,2.1157279917311762e-07,0.9951048951048952,0.039699923444366944,1.0,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,0,47,0.1058,0.1936573984185455,0.964041586998088,0.30917529102308156,0.95,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,gpu,0,47,0.0361,0.6294948889997215,0.964041586998088,0.30917529102308156,0.95,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,0,47,0.1387,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,0,47,0.1305,0.935735266923446,0.760336998087954,0.7278662619411508,0.828125,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,0,47,0.1126,0.1512096790710063,0.9853489483747608,0.1441170421696786,0.99375,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,0,47,0.0337,0.1614308755577491,0.9853489483747608,0.1441170421696786,0.99375,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,0,54,0.1748,0.0733019056705117,0.9111044285729237,0.35557201084194623,0.9217877094972067,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,0,54,0.0547,0.3273702043148637,0.9111044285729237,0.35557201084194623,0.9217877094972067,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,0,54,0.2106,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,0,54,0.1198,1.110117659736907,0.347455077970395,1.2229928300316228,0.6666666666666666,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,gpu,0,54,0.1153,0.1630049605439551,0.9671178659067522,0.20221765274372525,0.9805555555555555,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,0,54,0.0346,0.1972862768146939,0.9671178659067522,0.20221765274372525,0.9805555555555555,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,gpu,1,100,0.1088,0.0687410178030491,0.9825502550255024,0.8933202265472227,0.933,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,1,100,0.0457,0.8713419580486496,0.9825502550255024,0.8933202265472227,0.933,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,1,100,0.1833,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,1,100,0.1556,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,1,100,0.1864,0.0498226319364987,0.9946270627062705,0.06772790245617376,0.99,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,gpu,1,100,0.0492,0.0011546748900342,0.9946270627062705,0.06772790245617376,0.99,captum / deep_lift_shap
