dataset,model,library,approximator,device,max_depth,seed,n_features,runtime_s
gisette,xgboost,woodelf,path_dependent,cpu,4,0,1000,0.267
gisette,xgboost,woodelf,interventional,cpu,4,0,1000,0.3317
gisette,xgboost,woodelf,path_dependent,gpu,4,0,1000,3.5176
gisette,xgboost,woodelf,interventional,gpu,4,0,1000,3.4994
gisette,xgboost,woodelf,path_dependent,cpu,8,0,1000,0.4246
gisette,xgboost,woodelf,interventional,cpu,8,0,1000,0.5116
gisette,xgboost,woodelf,path_dependent,gpu,8,0,1000,4.584
gisette,xgboost,woodelf,interventional,gpu,8,0,1000,4.5317
gisette,xgboost,woodelf,path_dependent,cpu,12,0,1000,0.372
gisette,xgboost,woodelf,interventional,cpu,12,0,1000,0.5097
gisette,xgboost,woodelf,path_dependent,gpu,12,0,1000,4.5163
gisette,xgboost,woodelf,interventional,gpu,12,0,1000,4.4145
gisette,xgboost,woodelf,path_dependent,cpu,15,0,1000,0.348
gisette,xgboost,woodelf,interventional,cpu,15,0,1000,0.4973
gisette,xgboost,woodelf,path_dependent,gpu,15,0,1000,4.2349
gisette,xgboost,woodelf,interventional,gpu,15,0,1000,4.2361
gisette,xgboost,woodelf,path_dependent,cpu,20,0,1000,0.3536
gisette,xgboost,woodelf,interventional,cpu,20,0,1000,0.501
gisette,xgboost,woodelf,path_dependent,gpu,20,0,1000,33.2538
gisette,xgboost,woodelf,interventional,gpu,20,0,1000,10.4429
gisette,xgboost,woodelf,path_dependent,cpu,50,0,1000,0.3554
gisette,xgboost,woodelf,interventional,cpu,50,0,1000,0.5086
gisette,xgboost,woodelf,path_dependent,gpu,50,0,1000,4.4254
gisette,xgboost,woodelf,interventional,gpu,50,0,1000,4.4122
gisette,xgboost,woodelf,path_dependent,cpu,80,0,1000,1.3321
gisette,xgboost,woodelf,interventional,cpu,80,0,1000,0.5172
gisette,xgboost,woodelf,path_dependent,gpu,80,0,1000,4.2945
gisette,xgboost,woodelf,interventional,gpu,80,0,1000,4.2681
gisette,lightgbm,woodelf,path_dependent,cpu,4,0,1000,0.3424
gisette,lightgbm,woodelf,interventional,cpu,4,0,1000,0.4283
gisette,lightgbm,woodelf,path_dependent,gpu,4,0,1000,4.1002
gisette,lightgbm,woodelf,interventional,gpu,4,0,1000,3.8346
gisette,lightgbm,woodelf,path_dependent,cpu,8,0,1000,0.8855
gisette,lightgbm,woodelf,interventional,cpu,8,0,1000,1.0207
gisette,lightgbm,woodelf,path_dependent,gpu,8,0,1000,10.2612
gisette,lightgbm,woodelf,interventional,gpu,8,0,1000,9.7147
gisette,lightgbm,woodelf,path_dependent,cpu,12,0,1000,0.885
gisette,lightgbm,woodelf,interventional,cpu,12,0,1000,1.3487
gisette,lightgbm,woodelf,path_dependent,gpu,12,0,1000,12.1431
gisette,lightgbm,woodelf,interventional,gpu,12,0,1000,12.6387
gisette,lightgbm,woodelf,path_dependent,cpu,15,0,1000,0.8569
gisette,lightgbm,woodelf,interventional,cpu,15,0,1000,1.036
gisette,lightgbm,woodelf,path_dependent,gpu,15,0,1000,11.6587
gisette,lightgbm,woodelf,interventional,gpu,15,0,1000,11.457
gisette,lightgbm,woodelf,path_dependent,cpu,20,0,1000,0.8523
gisette,lightgbm,woodelf,interventional,cpu,20,0,1000,1.0229
gisette,lightgbm,woodelf,path_dependent,gpu,20,0,1000,12.2576
gisette,lightgbm,woodelf,interventional,gpu,20,0,1000,11.9624
gisette,lightgbm,woodelf,path_dependent,cpu,50,0,1000,0.861
gisette,lightgbm,woodelf,interventional,cpu,50,0,1000,1.0373
gisette,lightgbm,woodelf,path_dependent,gpu,50,0,1000,12.2043
gisette,lightgbm,woodelf,interventional,gpu,50,0,1000,11.9419
gisette,lightgbm,woodelf,path_dependent,cpu,80,0,1000,0.8601
gisette,lightgbm,woodelf,interventional,cpu,80,0,1000,1.0504
gisette,lightgbm,woodelf,path_dependent,gpu,80,0,1000,12.2174
gisette,lightgbm,woodelf,interventional,gpu,80,0,1000,11.6292
gisette,random_forest,woodelf,path_dependent,cpu,4,0,1000,0.3489
gisette,random_forest,woodelf,interventional,cpu,4,0,1000,0.4569
gisette,random_forest,woodelf,path_dependent,gpu,4,0,1000,4.749
gisette,random_forest,woodelf,interventional,gpu,4,0,1000,4.6114
