dataset,model,n_background,n_features,n_samples,learning_rate,max_depth,n_estimators,max_depth_config,order,backend,library,computation_type,approximator,budget,seed,imputer,n_eval,runtime_s,n_model_evals,base_value,additivity_gap,relative_additivity_gap,pairwise_metrics
gisette,xgboost,100,1000,1000,0.1,4,100,4,1,woodelf_path_dependent,woodelf,true_value,,,0,marginal,10,0.267,,-0.0360038887560021,0.0322239637374877,0.006628224737188,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0019708582471875485, ""relative_mae"": 0.20203570321080433, ""sign_agreement"": 0.9950093574547723, ""mean_sample_rho"": 0.9877690535934004}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,4,100,4,1,woodelf_interventional,woodelf,true_value,,,0,marginal,10,0.3317,,0.3593868625164031,6.692370696947946e-07,1.3993310568052908e-07,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0019708582471875485, ""relative_mae"": 0.20203570321080433, ""sign_agreement"": 0.9950093574547723, ""mean_sample_rho"": 0.9877690535934004}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,4,100,4,1,woodelf_gpu_path_dependent,woodelf,true_value,,,0,marginal,10,3.5176,,0.3593868625164031,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,4,100,4,1,woodelf_gpu_interventional,woodelf,true_value,,,0,marginal,10,3.4994,,0.3593868625164031,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}}"
gisette,xgboost,100,1000,1000,0.1,8,100,8,1,woodelf_path_dependent,woodelf,true_value,,,0,marginal,10,0.4246,,-0.0360038887560021,0.0388581752777099,0.0075171530784559,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0023016462511412446, ""relative_mae"": 0.23559167573370893, ""sign_agreement"": 0.9863400847856807, ""mean_sample_rho"": 0.9711598612241504}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,8,100,8,1,woodelf_interventional,woodelf,true_value,,,0,marginal,10,0.5116,,0.4536991167068481,6.398964212284141e-07,1.2617928818587748e-07,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0023016462511412446, ""relative_mae"": 0.23559167573370893, ""sign_agreement"": 0.9863400847856807, ""mean_sample_rho"": 0.9711598612241504}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,8,100,8,1,woodelf_gpu_path_dependent,woodelf,true_value,,,0,marginal,10,4.584,,0.4536991167068481,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,8,100,8,1,woodelf_gpu_interventional,woodelf,true_value,,,0,marginal,10,4.5317,,0.4536991167068481,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}}"
gisette,xgboost,100,1000,1000,0.1,11,100,12,1,woodelf_path_dependent,woodelf,true_value,,,0,marginal,10,0.372,,-0.0360038887560021,0.0406088352203369,0.0076610435257928,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0022594659560859222, ""relative_mae"": 0.23275002766459174, ""sign_agreement"": 0.9879720952610055, ""mean_sample_rho"": 0.9739957947349904}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,11,100,12,1,woodelf_interventional,woodelf,true_value,,,0,marginal,10,0.5097,,0.4845113301277161,7.088168298530207e-07,1.364003927925754e-07,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0022594659560859222, ""relative_mae"": 0.23275002766459174, ""sign_agreement"": 0.9879720952610055, ""mean_sample_rho"": 0.9739957947349904}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
